pc6/520Proj4/proj4/3-way-openmp/slurm-3458985.out:DATA, Threads, Virtual Memory, Physical Memory, Cores, Number of Lines
pc6/520Proj4/proj4/3-way-openmp/slurm-3459143.out:DATA, 8, 1622996, 1547744, 8, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459237.out:DATA, 16, 7302180, 6187176, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458873.out:DATA, 4, 3323504, 3094580, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459058.out:DATA, 4, 1776668, 1547672, 4, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459078.out:DATA, 8, 5165308, 4641516, 4, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459208.out:DATA, 4, 4870352, 4641444, 16, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458902.out:DATA, 2, 1629188, 1547632, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459154.out:DATA, 16, 2178988, 1547840, 8, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459116.out:DATA, 1, 6195980, 6188252, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459122.out:DATA, 2, 3176032, 3094540, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458890.out:DATA, 1, 1555452, 1547608, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459035.out:DATA, 1, 1555452, 1547608, 4, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458845.out:DATA, 1, 1555448, 1547608, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459160.out:DATA, 16, 5755168, 4641700, 8, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458984.out:DATA, 2, 6269852, 6188264, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458928.out:DATA, 8, 1622996, 1547780, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459057.out:DATA, 2, 6269844, 6188284, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458877.out:DATA, 4, 4870356, 4641416, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459104.out:DATA, 32, 6495236, 6189024, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459138.out:DATA, 4, 4870348, 4641444, 8, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459036.out:DATA, 1, 1555448, 1547604, 4, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459081.out:DATA, 8, 6712260, 6188392, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458931.out:DATA, 8, 3618460, 3094600, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459017.out:DATA, 16, 5755164, 4641704, 2, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459027.out:DATA, 32, 4390940, 3095068, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458959.out:DATA, 32, 6495236, 6188848, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459234.out:DATA, 16, 5755168, 4641700, 16, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459131.out:DATA, 4, 1776672, 1547664, 8, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459165.out:DATA, 16, 7302184, 6188556, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459223.out:DATA, 8, 6712260, 6192480, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458945.out:DATA, 16, 5755164, 4641656, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458906.out:DATA, 2, 3176032, 3094540, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458994.out:DATA, 4, 4870352, 4641444, 2, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459200.out:DATA, 2, 6269848, 6188292, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459063.out:DATA, 4, 3323500, 3094580, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458986.out:DATA, 4, 1776672, 1547664, 2, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458963.out:DATA, 1, 1555456, 1547608, 2, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458894.out:DATA, 1, 3102296, 3094480, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459054.out:DATA, 2, 4722872, 4641408, 4, 750000
