pc6/520Proj4/proj4/3-way-openmp/slurm-3458985.out:DATA, Threads, Virtual Memory, Physical Memory, Cores, Number of Lines
pc6/520Proj4/proj4/3-way-openmp/slurm-3458962.out:DATA, 1, 1555456, 1547608, 2, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459093.out:DATA, 16, 7302180, 6188556, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459041.out:DATA, 1, 4649132, 4641352, 4, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459021.out:DATA, 16, 7302184, 6188528, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458964.out:DATA, 1, 1555456, 1547608, 2, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459013.out:DATA, 16, 3247028, 3094860, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458900.out:DATA, 1, 6195988, 6188240, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459052.out:DATA, 2, 4722868, 4641376, 4, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459136.out:DATA, 4, 4870348, 4641444, 8, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458966.out:DATA, 1, 3102296, 3094480, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458970.out:DATA, 1, 4649136, 4641352, 2, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458905.out:DATA, 2, 3176032, 3094528, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459125.out:DATA, 2, 4722872, 4641376, 8, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459133.out:DATA, 4, 3323500, 3094580, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458860.out:DATA, 2, 3176028, 3094536, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459184.out:DATA, 1, 4649132, 4641352, 16, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458995.out:DATA, 4, 6417320, 6188324, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458824.out:DATA, 4, 694688, 620508, 2, 100000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459178.out:DATA, 1, 1555452, 1547608, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458998.out:DATA, 8, 1622996, 1547744, 2, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459070.out:DATA, 8, 1622996, 1547784, 4, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458929.out:DATA, 8, 3618456, 3094596, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459229.out:DATA, 16, 3247032, 3094860, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458955.out:DATA, 32, 4390944, 3094892, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459220.out:DATA, 8, 5165308, 4641516, 16, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459196.out:DATA, 2, 4722872, 4641408, 16, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458868.out:DATA, 2, 6269848, 6188260, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458915.out:DATA, 4, 1776664, 1547660, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459195.out:DATA, 2, 3176028, 3094536, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458924.out:DATA, 4, 6417320, 6188332, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459025.out:DATA, 32, 4390940, 3094924, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459071.out:DATA, 8, 1622996, 1547760, 4, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459212.out:DATA, 4, 6417320, 6187732, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458861.out:DATA, 2, 3176028, 3094540, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458879.out:DATA, 4, 6417316, 6188296, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459235.out:DATA, 16, 7302184, 6188600, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458993.out:DATA, 4, 4870352, 4641444, 2, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458869.out:DATA, 4, 1776664, 1547664, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459199.out:DATA, 2, 6269848, 6188292, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459198.out:DATA, 2, 4722868, 4641408, 16, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458882.out:DATA, 8, 1622992, 1547744, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459044.out:DATA, 1, 6195984, 6188236, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458991.out:DATA, 4, 3323500, 3094548, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458865.out:DATA, 2, 4722868, 4641412, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459146.out:DATA, 8, 3618456, 3094596, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459043.out:DATA, 1, 6195984, 6188264, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458846.out:DATA, 1, 1555452, 1547604, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459247.out:DATA, 32, 6495236, 6189028, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459124.out:DATA, 2, 4722872, 4641408, 8, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459206.out:DATA, 4, 3323496, 3094576, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458965.out:DATA, 1, 3102292, 3094480, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459216.out:DATA, 8, 1622996, 1547784, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459219.out:DATA, 8, 3618460, 3094624, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458967.out:DATA, 1, 3102288, 3094476, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458904.out:DATA, 2, 1629184, 1547656, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458876.out:DATA, 4, 4870352, 4641444, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458946.out:DATA, 16, 5755164, 4641620, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459233.out:DATA, 16, 5755164, 4641684, 16, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459188.out:DATA, 1, 6195984, 6188264, 16, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459243.out:DATA, 32, 4390940, 3094964, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458866.out:DATA, 2, 6269844, 6188260, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458975.out:DATA, 2, 1629188, 1547628, 2, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459120.out:DATA, 2, 1629188, 1547632, 8, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459123.out:DATA, 2, 3176032, 3094532, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458934.out:DATA, 8, 5165308, 4641516, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459020.out:DATA, 16, 7302188, 6188560, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459034.out:DATA, 1, 1555448, 1547604, 4, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459157.out:DATA, 16, 3247032, 3094832, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459163.out:DATA, 16, 7302184, 6188520, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459002.out:DATA, 8, 3618460, 3094624, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458885.out:DATA, 8, 3618456, 3094628, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458867.out:DATA, 2, 6269848, 6188292, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459139.out:DATA, 4, 6417316, 6188300, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459129.out:DATA, 2, 6269844, 6188264, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459059.out:DATA, 4, 1776664, 1547664, 4, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458870.out:DATA, 4, 1776664, 1547676, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459135.out:DATA, 4, 3323504, 3094580, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459218.out:DATA, 8, 3618464, 3094632, 16, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459047.out:DATA, 2, 1629188, 1549612, 4, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459149.out:DATA, 8, 5165312, 4641484, 8, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459106.out:DATA, 1, 1555452, 1547608, 8, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459130.out:DATA, 4, 1776668, 1547660, 8, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458953.out:DATA, 32, 4390944, 3094888, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459007.out:DATA, 8, 6712268, 6188400, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459145.out:DATA, 8, 3618464, 3094624, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458859.out:DATA, 2, 1629188, 1547636, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459111.out:DATA, 1, 3102292, 3094480, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458980.out:DATA, 2, 4722868, 4641216, 2, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459158.out:DATA, 16, 3247028, 3094832, 8, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459227.out:DATA, 16, 2178984, 1547880, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459018.out:DATA, 16, 5755168, 4641704, 2, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458907.out:DATA, 2, 3176028, 3094508, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459085.out:DATA, 16, 3247032, 3094860, 4, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458854.out:DATA, 1, 6195984, 6188236, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459026.out:DATA, 32, 4390944, 3095064, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459222.out:DATA, 8, 5165308, 4641520, 16, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458853.out:DATA, 1, 4649132, 4641352, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459083.out:DATA, 16, 2178988, 1547880, 4, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458926.out:DATA, 8, 1622992, 1547748, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459105.out:DATA, 32, 6495236, 6189024, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458852.out:DATA, 1, 4649136, 4641356, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459191.out:DATA, 2, 1629192, 1547668, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458889.out:DATA, 8, 5165308, 4641480, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458871.out:DATA, 4, 1776668, 1547660, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459144.out:DATA, 8, 1622992, 1547752, 8, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459010.out:DATA, 16, 2178992, 1547836, 2, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459001.out:DATA, 8, 3618464, 3094632, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458919.out:DATA, 4, 3323500, 3094548, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459032.out:DATA, 32, 6495240, 6189024, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459053.out:DATA, 2, 4722868, 4641380, 4, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459203.out:DATA, 4, 1776668, 1547700, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458939.out:DATA, 16, 2178992, 1547804, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458977.out:DATA, 2, 3176032, 3094512, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459015.out:DATA, 16, 3247032, 3094860, 2, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458935.out:DATA, 8, 6712264, 6188300, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459153.out:DATA, 8, 6712260, 6187376, 8, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458883.out:DATA, 8, 1622992, 1547744, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459150.out:DATA, 8, 5165312, 4641484, 8, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459226.out:DATA, 16, 2178992, 1547884, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459006.out:DATA, 8, 5165308, 4641516, 2, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458983.out:DATA, 2, 6269848, 6188264, 2, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459056.out:DATA, 2, 6269848, 6189848, 4, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459089.out:DATA, 16, 5755168, 4641672, 4, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459142.out:DATA, 8, 1622996, 1547780, 8, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458910.out:DATA, 2, 4722872, 4641412, 1, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459060.out:DATA, 4, 1776668, 1547660, 4, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459072.out:DATA, 8, 1622996, 1547748, 4, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458930.out:DATA, 8, 3618460, 3094632, 1, 500000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459016.out:DATA, 16, 5755164, 4641700, 2, 750000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458891.out:DATA, 1, 1555448, 1547604, 1, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458878.out:DATA, 4, 6417316, 6188328, 1, 1000000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459192.out:DATA, 2, 1629188, 1547664, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459179.out:DATA, 1, 1555452, 1547612, 16, 250000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459193.out:DATA, 2, 3176032, 3094540, 16, 500000
