pc6/520Proj4/proj4/3-way-pthreads/slurm-3453123.out:DATA, 2, (null), 4537933.541000, 4, 6166884, 5864096
pc6/520Proj4/proj4/3-way-pthreads/slurm-3453330.out:DATA, 2, (null), 9095785.184000, 2, 6316276, 6160876
pc6/520Proj4/proj4/3-way-pthreads/slurm-3453343.out:DATA, 2, (null), 8519045.913000, 1, 6242544, 6160916
pc6/520Proj4/proj4/3-way-pthreads/slurm-3452655.out:DATA, 2, (null), 587305.800000, 4, 3967656, 3257032
pc6/520Proj4/proj4/3-way-pthreads/slurm-3453193.out:DATA, 2, (null), 2101156.100000, 4, 6463748, 6160964
pc6/520Proj4/proj4/3-way-pthreads/slurm-3453351.out:DATA, 2, (null), 4551053.165000, 4, 6463748, 6160892
pc6/520Proj4/proj4/3-way-pthreads/slurm-3453378.out:DATA, 2, (null), 2289952.959000, 32, 6248084, 6161240
pc6/520Proj4/proj4/3-way-pthreads/slurm-3452601.out:DATA, 2, (null), 2216134.321000, 4, 3967656, 3227596
pc6/520Proj4/proj4/3-way-pthreads/slurm-3453412.out:DATA, 2, (null), 573744.606000, 16, 7250260, 6161100
pc6/520Proj4/proj4/3-way-pthreads/slurm-3453138.out:DATA, 2, (null), 2276711.249000, 2, 6019404, 5864000
pc6/520Proj4/proj4/3-way-pthreads/slurm-3453191.out:DATA, 2, (null), 4398893.211000, 2, 6316276, 6160876
pc6/520Proj4/proj4/3-way-pthreads/slurm-3452621.out:DATA, 2, (null), 1055197.410000, 8, 4229816, 3227604
pc6/520Proj4/proj4/3-way-pthreads/slurm-3453359.out:DATA, 2, (null), 4672548.659000, 32, 6248084, 6160648
pc6/520Proj4/proj4/3-way-pthreads/slurm-3453149.out:DATA, 2, (null), 2273575.056000, 32, 6044836, 5864188
pc6/520Proj4/proj4/3-way-pthreads/slurm-3452669.out:DATA, 2, (null), 993569.977000, 2, 3820184, 3450532
pc6/520Proj4/proj4/3-way-pthreads/slurm-3452680.out:DATA, 2, (null), 145511.772000, 16, 4752152, 3419360
pc6/520Proj4/proj4/3-way-pthreads/slurm-3453356.out:DATA, 2, (null), 4548853.232000, 16, 7250260, 6161040
pc6/520Proj4/proj4/3-way-pthreads/slurm-3453250.out:DATA, 2, (null), 4560073.594000, 32, 6248084, 6161240
pc6/520Proj4/proj4/3-way-pthreads/slurm-3453400.out:DATA, 2, (null), 8616767.606000, 1, 6242544, 6160868
