pc6/520Proj4/proj4/3-way-openmp/slurm-3458985.out:Total time to run: 5015248.449000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459204.out:Total time to run: 576554.749000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459214.out:Total time to run: 307015.200000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459132.out:Total time to run: 615009.471000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458872.out:Total time to run: 5011481.265000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458972.out:Total time to run: 9323462.864000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458943.out:Total time to run: 5008980.524000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459087.out:Total time to run: 1307675.816000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458925.out:Total time to run: 9939727.699000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459088.out:Total time to run: 1835482.494000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458893.out:Total time to run: 4960739.920000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458881.out:Total time to run: 2504804.748000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458932.out:Total time to run: 7371489.185000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458960.out:Total time to run: 9459865.837000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459211.out:Total time to run: 2303699.036000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459186.out:Total time to run: 6536452.328000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459156.out:Total time to run: 333535.586000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459062.out:Total time to run: 1412799.654000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458969.out:Total time to run: 7310737.881000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459066.out:Total time to run: 1818351.540000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458851.out:Total time to run: 7413722.681000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459049.out:Total time to run: 2412545.661000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459115.out:Total time to run: 9501982.586000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458921.out:Total time to run: 7512909.537000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458981.out:Total time to run: 3766216.493000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458992.out:Total time to run: 3775000.237000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458944.out:Total time to run: 7515667.310000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459011.out:Total time to run: 1223413.113000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458855.out:Total time to run: 9953205.150000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459042.out:Total time to run: 7007334.794000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459084.out:Total time to run: 604914.481000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459079.out:Total time to run: 2580638.402000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458936.out:Total time to run: 9938070.523000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459162.out:Total time to run: 944886.034000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459055.out:Total time to run: 4773379.155000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459152.out:Total time to run: 1259103.373000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459031.out:Total time to run: 4897209.768000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458913.out:Total time to run: 9860128.047000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459148.out:Total time to run: 943973.830000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458987.out:Total time to run: 1260318.887000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459003.out:Total time to run: 2502266.306000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459147.out:Total time to run: 613552.853000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459103.out:Total time to run: 2751619.379000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459076.out:Total time to run: 1830263.164000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459210.out:Total time to run: 1728737.678000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459118.out:Total time to run: 1242878.017000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458990.out:Total time to run: 2475943.622000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458880.out:Total time to run: 9700534.572000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458850.out:Total time to run: 4963513.059000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458874.out:Total time to run: 5007560.899000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458948.out:Total time to run: 9852940.905000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458976.out:Total time to run: 1260364.318000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459249.out:Total time to run: 634568.304000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458941.out:Total time to run: 4596454.342000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458933.out:Total time to run: 7371959.122000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459143.out:Total time to run: 326300.771000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459237.out:Total time to run: 638341.148000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458873.out:Total time to run: 5008329.364000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459058.out:Total time to run: 639275.666000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459078.out:Total time to run: 2080729.493000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459208.out:Total time to run: 1736777.738000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458902.out:Total time to run: 2505258.809000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459154.out:Total time to run: 316088.113000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459116.out:Total time to run: 8874098.313000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459122.out:Total time to run: 2482849.183000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458890.out:Total time to run: 2504396.419000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459035.out:Total time to run: 2299850.697000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458845.out:Total time to run: 2504398.208000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459160.out:Total time to run: 949399.273000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458984.out:Total time to run: 5018312.983000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458928.out:Total time to run: 2297712.343000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459057.out:Total time to run: 4824417.434000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458877.out:Total time to run: 7329732.192000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459104.out:Total time to run: 2444198.497000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459138.out:Total time to run: 1794482.356000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459036.out:Total time to run: 2356231.478000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459081.out:Total time to run: 2751395.886000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458931.out:Total time to run: 4939735.675000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459017.out:Total time to run: 3770849.187000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459027.out:Total time to run: 2504987.680000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458959.out:Total time to run: 9656081.857000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459234.out:Total time to run: 475703.462000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459131.out:Total time to run: 612066.699000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459165.out:Total time to run: 1215321.661000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459223.out:Total time to run: 1222332.990000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458945.out:Total time to run: 7516491.448000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458906.out:Total time to run: 4954057.459000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458994.out:Total time to run: 3774581.082000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459200.out:Total time to run: 5273301.449000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459063.out:Total time to run: 1222950.885000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458986.out:Total time to run: 1256965.929000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458963.out:Total time to run: 2315249.463000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458894.out:Total time to run: 4960353.456000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459054.out:Total time to run: 3627289.579000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459000.out:Total time to run: 1255924.909000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458922.out:Total time to run: 7511604.134000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458947.out:Total time to run: 9851363.019000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459082.out:Total time to run: 731676.208000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459224.out:Total time to run: 1223646.114000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459119.out:Total time to run: 1233307.700000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458911.out:Total time to run: 9860206.690000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459202.out:Total time to run: 576450.146000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459155.out:Total time to run: 304011.009000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459213.out:Total time to run: 2301360.805000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458978.out:Total time to run: 2483998.276000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459091.out:Total time to run: 2444995.919000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459014.out:Total time to run: 2513250.236000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458864.out:Total time to run: 7459774.671000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458954.out:Total time to run: 5007356.101000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459159.out:Total time to run: 633708.636000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458942.out:Total time to run: 4602452.819000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458997.out:Total time to run: 5011929.652000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458857.out:Total time to run: 2506009.364000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458848.out:Total time to run: 4962521.313000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459209.out:Total time to run: 1728228.014000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458863.out:Total time to run: 7458435.615000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459201.out:Total time to run: 4368219.174000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458856.out:Total time to run: 9940747.663000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459141.out:Total time to run: 2434021.785000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458886.out:Total time to run: 4937401.903000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459073.out:Total time to run: 1214381.586000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459128.out:Total time to run: 4922839.368000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459033.out:Total time to run: 4805431.910000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458897.out:Total time to run: 7269098.921000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459180.out:Total time to run: 2279926.534000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458916.out:Total time to run: 2505734.686000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459169.out:Total time to run: 629987.702000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458973.out:Total time to run: 9325083.908000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458888.out:Total time to run: 6890836.714000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459231.out:Total time to run: 317418.225000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458914.out:Total time to run: 2505721.411000
pc6/520Proj4/proj4/3-way-openmp/slurm-3458968.out:Total time to run: 7312215.380000
pc6/520Proj4/proj4/3-way-openmp/slurm-3459215.out:Total time to run: 306817.378000
